City,total_hospitals,total_beds,average_beds,bed_to_hospital_ratio
Abbeville,2,230,115.0,115.0
Aberdeen,4,630,157.5,157.5
Abilene,3,430,143.33333333333334,143.33333333333334
Abingdon,1,200,200.0,200.0
Abington,1,200,200.0,200.0
Ackerman,1,30,30.0,30.0
Ada,3,430,143.33333333333334,143.33333333333334
Addison,1,200,200.0,200.0
Adel,1,200,200.0,200.0
Adrian,1,200,200.0,200.0
Afton,1,30,30.0,30.0
Aguadilla,1,200,200.0,200.0
Ahoskie,1,200,200.0,200.0
Aibonito,1,200,200.0,200.0
Aiea,1,200,200.0,200.0
Aiken,1,200,200.0,200.0
Ainsworth,1,30,30.0,30.0
Aitkin,1,30,30.0,30.0
Akron,4,700,175.0,175.0
Alabaster,1,200,200.0,200.0
Alameda,1,200,200.0,200.0
Alamogordo,1,200,200.0,200.0
Alamosa,1,200,200.0,200.0
Albany,7,1230,175.71428571428572,175.71428571428572
Albemarle,1,200,200.0,200.0
Albert Lea,1,200,200.0,200.0
Albia,1,30,30.0,30.0
Albion,1,30,30.0,30.0
Albuquerque,5,1000,200.0,200.0
Aledo,1,30,30.0,30.0
Alexander City,1,200,200.0,200.0
Alexandria,6,1200,200.0,200.0
Alexandria Bay,1,30,30.0,30.0
Algona,1,30,30.0,30.0
Alhambra,1,200,200.0,200.0
Alice,1,200,200.0,200.0
Allegan,1,30,30.0,30.0
Allen,2,300,150.0,150.0
Allentown,3,600,200.0,200.0
Alliance,2,230,115.0,115.0
Alma,3,260,86.66666666666667,86.66666666666667
Alpena,1,200,200.0,200.0
Alpine,1,30,30.0,30.0
Alt De Santa,1,200,200.0,200.0
Alton,2,400,200.0,200.0
Altoona,2,400,200.0,200.0
Alturas,1,30,30.0,30.0
Altus,1,200,200.0,200.0
Alva,1,200,200.0,200.0
Amarillo,3,600,200.0,200.0
American Falls,1,30,30.0,30.0
American Fork,1,200,200.0,200.0
Americus,1,200,200.0,200.0
Amery,1,30,30.0,30.0
Ames,1,200,200.0,200.0
Amite,1,30,30.0,30.0
Amory,1,200,200.0,200.0
Amsterdam,1,200,200.0,200.0
Anaconda,1,30,30.0,30.0
Anacortes,1,200,200.0,200.0
Anadarko,1,30,30.0,30.0
Anaheim,4,800,200.0,200.0
Anahuac,1,30,30.0,30.0
Anamosa,1,30,30.0,30.0
Anchorage,3,600,200.0,200.0
Andalusia,1,200,200.0,200.0
Anderson,3,600,200.0,200.0
Andover,1,200,200.0,200.0
Andrews,1,200,200.0,200.0
Angola,1,30,30.0,30.0
Ann Arbor,2,400,200.0,200.0
Anna,1,30,30.0,30.0
Annapolis,1,200,200.0,200.0
Anniston,2,400,200.0,200.0
Anson,1,200,200.0,200.0
Anthony,1,30,30.0,30.0
Antigo,1,30,30.0,30.0
Antioch,2,400,200.0,200.0
Antlers,1,200,200.0,200.0
Apache Junction,1,200,200.0,200.0
Apalachicola,1,30,30.0,30.0
Apple Valley,1,200,200.0,200.0
Appleton,3,430,143.33333333333334,143.33333333333334
Appleton City,1,30,30.0,30.0
Aransas Pass,1,200,200.0,200.0
Arcadia,3,430,143.33333333333334,143.33333333333334
Arcata,1,200,200.0,200.0
Arco,1,30,30.0,30.0
Ardmore,1,200,200.0,200.0
Arecibo,2,400,200.0,200.0
Arkadelphia,1,30,30.0,30.0
Arkansas City,1,200,200.0,200.0
Arlington,9,1630,181.11111111111111,181.11111111111111
Arlington Heights,1,200,200.0,200.0
Armour,1,30,30.0,30.0
Arroyo,1,200,200.0,200.0
Artesia,1,200,200.0,200.0
Ashdown,1,30,30.0,30.0
Asheboro,1,200,200.0,200.0
Asheville,1,200,200.0,200.0
Ashland,7,1060,151.42857142857142,151.42857142857142
Ashland City,1,30,30.0,30.0
Ashley,1,30,30.0,30.0
Ashtabula,1,200,200.0,200.0
Aspen,1,30,30.0,30.0
Aspermont,1,30,30.0,30.0
Astoria,1,30,30.0,30.0
Atchison,1,30,30.0,30.0
Athens,7,1400,200.0,200.0
Athol,1,30,30.0,30.0
Atkinson,1,30,30.0,30.0
Atlanta,9,1600,177.77777777777777,177.77777777777777
Atlantic,1,30,30.0,30.0
Atlantic City,1,200,200.0,200.0
Atlantis,1,200,200.0,200.0
Atmore,1,200,200.0,200.0
Atoka,1,30,30.0,30.0
Attleboro,1,200,200.0,200.0
Atwood,1,30,30.0,30.0
Aubrey,1,200,200.0,200.0
Auburn,5,830,166.0,166.0
Audubon,1,30,30.0,30.0
Augusta,5,1000,200.0,200.0
Aurora,8,990,123.75,123.75
Austell,1,200,200.0,200.0
Austin,11,2100,190.9090909090909,190.9090909090909
Avalon,1,30,30.0,30.0
Aventura,1,200,200.0,200.0
Avon,1,200,200.0,200.0
Ayer,1,200,200.0,200.0
Azle,1,200,200.0,200.0
Bad Axe,1,200,200.0,200.0
Bagley,1,30,30.0,30.0
Bainbridge,1,200,200.0,200.0
Baker,1,30,30.0,30.0
Baker City,1,30,30.0,30.0
Bakersfield,6,1200,200.0,200.0
Baldwin,1,30,30.0,30.0
Baldwin Park,1,200,200.0,200.0
Ballinger,1,30,30.0,30.0
Baltimore,17,3200,188.23529411764707,188.23529411764707
Bandon,1,30,30.0,30.0
Bangor,2,400,200.0,200.0
Banning,1,200,200.0,200.0
Bar Harbor,1,30,30.0,30.0
Baraboo,1,200,200.0,200.0
Barbourville,1,30,30.0,30.0
Bardstown,1,200,200.0,200.0
Barnesville,1,30,30.0,30.0
Barre,1,200,200.0,200.0
Barrington,1,200,200.0,200.0
Barron,1,30,30.0,30.0
Barrow,1,30,30.0,30.0
Barstow,1,200,200.0,200.0
Bartlesville,1,200,200.0,200.0
Bartlett,1,200,200.0,200.0
Bartow,1,200,200.0,200.0
Basin,1,30,30.0,30.0
Bassett,1,30,30.0,30.0
Bastrop,1,200,200.0,200.0
Batavia,2,400,200.0,200.0
Batesville,3,430,143.33333333333334,143.33333333333334
Bath,1,200,200.0,200.0
Baton Rouge,6,1200,200.0,200.0
Batte Mtn,1,30,30.0,30.0
Battle Creek,1,200,200.0,200.0
Baudette,1,30,30.0,30.0
Baxley,1,200,200.0,200.0
Bay City,2,400,200.0,200.0
Bay Minette,1,200,200.0,200.0
Bay Saint Louis,1,200,200.0,200.0
Bay Shore,1,200,200.0,200.0
Bay Springs,1,200,200.0,200.0
Bayamon,4,800,200.0,200.0
Bayonne,1,200,200.0,200.0
Baytown,2,400,200.0,200.0
Bda Nueva,1,200,200.0,200.0
Beachwood,1,200,200.0,200.0
Beatrice,1,30,30.0,30.0
Beaufort,1,200,200.0,200.0
Beaumont,2,400,200.0,200.0
Beaver,3,260,86.66666666666667,86.66666666666667
Beaver Creek,1,200,200.0,200.0
Beaver Dam,1,200,200.0,200.0
Beckley,2,400,200.0,200.0
Bedford,4,460,115.0,115.0
Beeville,1,200,200.0,200.0
Bel Air,1,200,200.0,200.0
Belcourt,1,200,200.0,200.0
Belfast,1,30,30.0,30.0
Bellaire,1,200,200.0,200.0
Belle Glade,1,200,200.0,200.0
Bellefontaine,1,200,200.0,200.0
Belleville,4,630,157.5,157.5
Bellevue,3,600,200.0,200.0
Bellingham,1,200,200.0,200.0
Bellville,1,200,200.0,200.0
Belmond,1,30,30.0,30.0
Beloit,2,230,115.0,115.0
Belton,1,200,200.0,200.0
Bemidji,1,200,200.0,200.0
Bend,1,200,200.0,200.0
Benkelman,1,30,30.0,30.0
Bennington,1,200,200.0,200.0
Bensalem,1,200,200.0,200.0
Benson,2,60,30.0,30.0
Benton,3,260,86.66666666666667,86.66666666666667
Berea,1,30,30.0,30.0
Berkeley,1,200,200.0,200.0
Berkeley Springs,1,30,30.0,30.0
Berlin,4,460,115.0,115.0
Bernice,1,30,30.0,30.0
Berryville,1,30,30.0,30.0
Berwick,1,200,200.0,200.0
Berwyn,1,200,200.0,200.0
Bessemer,1,200,200.0,200.0
Bethany,1,30,30.0,30.0
Bethel,1,200,200.0,200.0
Bethesda,1,200,200.0,200.0
Bethlehem,3,600,200.0,200.0
Bethpage,1,200,200.0,200.0
Bettendorf,1,200,200.0,200.0
Beverly,1,200,200.0,200.0
Biddeford,1,200,200.0,200.0
Big Bear Lake,1,30,30.0,30.0
Big Lake,1,30,30.0,30.0
Big Rapids,1,200,200.0,200.0
Big Sandy,1,30,30.0,30.0
