Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location,Beds,Bed_Category
10005,Marshall Medical Center South,2505 U S HIGHWAY 431 NORTH,Boaz,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,Government - Hospital District or Authority,True,True,3,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,"2505 U S HIGHWAY 431 NORTH
BOAZ, AL
",200,Large
10012,Dekalb Regional Medical Center,200 MED CENTER DRIVE,Fort Payne,AL,35968,DE KALB,2568453150,Acute Care Hospitals,Proprietary,True,True,3,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"200 MED CENTER DRIVE
FORT PAYNE, AL
",200,Large
10032,Wedowee Hospital,209 NORTH MAIN STREET,Wedowee,AL,36278,RANDOLPH,2563572111,Acute Care Hospitals,Government - Hospital District or Authority,True,True,4,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,"209 NORTH MAIN STREET
WEDOWEE, AL
",200,Large
10095,Hale County Hospital,508 GREEN STREET,Greensboro,AL,36744,HALE,3346243024,Acute Care Hospitals,Government - Local,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Below the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,"508 GREEN STREET
GREENSBORO, AL
",200,Large
10131,Crestwood Medical Center,ONE HOSPITAL DR SE,Huntsville,AL,35801,MADISON,2568823100,Acute Care Hospitals,Proprietary,True,True,3,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"ONE HOSPITAL DR SE
HUNTSVILLE, AL
",200,Large
11304,Choctaw General Hospital,"401 VANITY FAIR LANE, PO BOX 618",Butler,AL,36904,CHOCTAW,2054599100,Critical Access Hospitals,Voluntary non-profit - Private,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,"401 VANITY FAIR LANE, PO BOX 618
BUTLER, AL
",30,Small
20018,Yukon Kuskokwim Delta Reg Hospital,PO BOX 287,Bethel,AK,99559,BETHEL,9075436300,Acute Care Hospitals,Tribal,True,True,3,This hospitals star rating only includes data reported on inpatient services,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"PO BOX 287
BETHEL, AK
",200,Large
21308,Norton Sound Regional Hospital,1000 GREG KRUSCHEK AVENUE (P O BOX 966),Nome,AK,99762,NOME,9074433311,Critical Access Hospitals,Tribal,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"1000 GREG KRUSCHEK AVENUE (P O BOX 966)
NOME, AK
",30,Small
21309,Kanakanak Hospital,P O BOX 130,Dillingham,AK,99576,DILLINGHAM,9078425201,Critical Access Hospitals,Voluntary non-profit - Private,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"P O BOX 130
DILLINGHAM, AK
",30,Small
21310,Maniilaq Health Center,PO BOX 43,Kotzebue,AK,99752,NORTHWEST ARCTIC,9074423321,Critical Access Hospitals,Tribal,True,True,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"PO BOX 43
KOTZEBUE, AK
",30,Small
30071,Fort Defiance Indian Hospital,PO BOX 649,Fort Defiance,AZ,86504,APACHE,9287298000,Acute Care Hospitals,Government - Federal,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"PO BOX 649
FORT DEFIANCE, AZ
",200,Large
30073,Tuba City Regional Health Care Corporation,PO BOX 600,Tuba City,AZ,86045,COCONINO,9282832501,Acute Care Hospitals,Voluntary non-profit - Other,False,True,3,This hospitals star rating only includes data reported on inpatient services,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"PO BOX 600
TUBA CITY, AZ
",200,Large
30074,Sells Hospital,"HIGHWAY 86, AT TOPAWA ROAD",Sells,AZ,85634,PIMA,5203627003,Acute Care Hospitals,Tribal,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"HIGHWAY 86, AT TOPAWA ROAD
SELLS, AZ
",200,Large
30077,San Carlos Apache Healthcare,103 MEDICINE WAY ROAD,Peridot,AZ,85542,GILA,9284751200,Acute Care Hospitals,Government - Federal,False,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"103 MEDICINE WAY ROAD
PERIDOT, AZ
",200,Large
30084,Chinle Comprehensive Health Care Facility,"US HWY 191, HOSPITAL ROAD",Chinle,AZ,86503,APACHE,9286747001,Acute Care Hospitals,Government - Federal,True,True,3,This hospitals star rating only includes data reported on inpatient services,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"US HWY 191, HOSPITAL ROAD
CHINLE, AZ
",200,Large
31305,Hopi Health Care Center,"HIGHWAY 264, MILEPOST 388",Polacca,AZ,86042,NAVAJO,9287376000,Critical Access Hospitals,Tribal,False,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"HIGHWAY 264, MILEPOST 388
POLACCA, AZ
",30,Small
31308,Huhu Kam Memorial Hospital,483 WEST SEED FARM ROAD,Sacaton,AZ,85147,PINAL,5205623321,Critical Access Hospitals,Government - Hospital District or Authority,True,True,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"483 WEST SEED FARM ROAD
SACATON, AZ
",30,Small
31309,Sage Memorial Hospital,STATE ROUTE 264 SOUTH 191,Ganado,AZ,86505,APACHE,9287554541,Critical Access Hospitals,Voluntary non-profit - Private,False,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,"STATE ROUTE 264 SOUTH 191
GANADO, AZ
",30,Small
40007,Chi-St Vincent Infirmary,TWO ST VINCENT CIRCLE,Little Rock,AR,72205,PULASKI,5015523000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"TWO ST VINCENT CIRCLE
LITTLE ROCK, AR
",200,Large
40018,Sparks Medical Center - Van Buren,EAST MAIN AND SOUTH 20TH STREET,Van Buren,AR,72956,CRAWFORD,4794743401,Acute Care Hospitals,Proprietary,True,True,3,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,"EAST MAIN AND SOUTH 20TH STREET
VAN BUREN, AR
",200,Large
40050,Ouachita County Medical Center,638 CALIFORNIA AVENUE,Camden,AR,71701,OUACHITA,8708361000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"638 CALIFORNIA AVENUE
CAMDEN, AR
",200,Large
40154,Baptist Health Medical Center-Conway,1555 EXCHANGE AVENUE,Conway,AR,72032,FAULKNER,5015852000,Acute Care Hospitals,Voluntary non-profit - Private,True,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"1555 EXCHANGE AVENUE
CONWAY, AR
",200,Large
41324,Chi St Vincent Morrilton,#4 HOSPITAL DRIVE,Morrilton,AR,72110,CONWAY,5019772300,Critical Access Hospitals,Voluntary non-profit - Church,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"#4 HOSPITAL DRIVE
MORRILTON, AR
",30,Small
41328,Chicot Memorial Medical Center,2729 SOUTH HIGHWAY 65 & 82,Lake Village,AR,71653,CHICOT,8702655351,Critical Access Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,"2729 SOUTH HIGHWAY 65 &amp; 82
LAKE VILLAGE, AR
",30,Small
